,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Diego Matías Rodríguez,ar ARG,GK,34-253,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ArgentinosJun
1,Alan Lescano,ar ARG,MF,22-114,8,8,675,7.5,3,1,4,3,0,0,2,0,2.4,2.4,0.9,3.3,10,32,16,0.40,0.13,0.53,0.40,0.53,0.32,0.12,0.44,0.32,0.44,Matches,ArgentinosJun
2,Maximiliano Romero,ar ARG,FW,25-055,8,8,575,6.4,2,1,3,2,0,0,1,0,1.3,1.3,1.7,3.0,5,6,23,0.31,0.16,0.47,0.31,0.47,0.20,0.26,0.47,0.20,0.47,Matches,ArgentinosJun
3,Tobías Palacio,ar ARG,DF,17-114,8,7,663,7.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,4,11,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches,ArgentinosJun
4,Jonathan Galván,ar ARG,DF,31-253,7,7,557,6.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,4,20,0,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Matches,ArgentinosJun
5,Leonardo Heredia,ar ARG,FW,28-053,7,7,508,5.6,3,0,3,2,1,1,0,0,2.9,2.1,0.0,2.1,7,6,29,0.53,0.00,0.53,0.35,0.35,0.52,0.00,0.52,0.38,0.38,Matches,ArgentinosJun
6,Román Vega,ar ARG,DF,20-063,7,6,546,6.1,0,0,0,0,0,0,1,0,0.0,0.0,0.9,1.0,24,16,21,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,Matches,ArgentinosJun
7,Franco Moyano,ar ARG,MF,26-173,6,5,459,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,16,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,ArgentinosJun
8,Nicolás Oróz,ar ARG,"MF,FW",29-338,6,5,378,4.2,0,3,3,0,0,0,0,0,0.1,0.1,0.8,0.9,6,23,17,0.00,0.71,0.71,0.00,0.71,0.02,0.19,0.21,0.02,0.21,Matches,ArgentinosJun
9,Fernando Meza,ar ARG,DF,33-349,7,4,418,4.6,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,1,14,8,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.04,Matches,ArgentinosJun
