,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Marcelo Barovero,ar ARG,GK,40-015,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Banfield
1,Emanuel Insúa,ar ARG,DF,32-329,8,8,720,8.0,0,0,0,0,0,0,2,0,0.2,0.2,0.7,0.9,21,25,11,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches,Banfield
2,Alejandro Maciel,ar ARG,DF,26-317,8,8,720,8.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,16,0,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches,Banfield
3,Yvo Calleros,uy URU,MF,25-356,8,8,672,7.5,0,1,1,0,0,0,0,0,0.2,0.2,0.4,0.6,1,18,0,0.00,0.13,0.13,0.00,0.13,0.03,0.05,0.09,0.03,0.09,Matches,Banfield
4,Ignacio Rodríguez,ar ARG,MF,22-011,8,8,590,6.6,0,0,0,0,0,0,2,0,1.5,1.5,0.4,1.9,14,16,37,0.00,0.00,0.00,0.00,0.00,0.23,0.06,0.30,0.23,0.30,Matches,Banfield
5,Milton Giménez,ar ARG,FW,27-205,7,7,599,6.7,2,0,2,2,0,0,1,0,1.6,1.6,0.7,2.4,10,13,32,0.30,0.00,0.30,0.30,0.30,0.25,0.11,0.36,0.25,0.36,Matches,Banfield
6,Ezequiel Bonifacio,ar ARG,DF,29-300,7,6,545,6.1,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,21,40,17,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.10,0.01,0.10,Matches,Banfield
7,Geronimo Rivera,ar ARG,MF,20-199,8,6,545,6.1,1,0,1,1,0,0,1,0,1.1,1.1,0.9,2.0,16,8,49,0.17,0.00,0.17,0.17,0.17,0.19,0.15,0.34,0.19,0.34,Matches,Banfield
8,Ezequiel Cañete,ar ARG,MF,24-261,7,6,445,4.9,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,5,18,6,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches,Banfield
9,Luciano Recalde,ar ARG,DF,28-205,6,5,457,5.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,8,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,Banfield
