,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Rodrigo Herrera,ar ARG,MF,23-220,9,9,810,9.0,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.2,8,31,2,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.13,0.01,0.13,Matches,BarracasCentral
1,Rodrigo Insúa,ar ARG,DF,26-084,9,9,810,9.0,0,1,1,0,0,0,0,0,0.1,0.1,1.7,1.8,15,27,31,0.00,0.11,0.11,0.00,0.11,0.01,0.19,0.20,0.01,0.20,Matches,BarracasCentral
2,Facundo Mater,ar ARG,DF,25-230,9,9,810,9.0,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,19,29,11,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches,BarracasCentral
3,Sebastián Moyano,ar ARG,GK,33-196,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,BarracasCentral
4,Nicolás Capraro,ar ARG,DF,26-006,9,9,765,8.5,0,0,0,0,0,0,2,0,0.6,0.6,0.0,0.6,0,14,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,BarracasCentral
5,Siro Rosane,ar ARG,MF,23-276,9,9,690,7.7,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.4,6,21,8,0.13,0.00,0.13,0.13,0.13,0.04,0.00,0.05,0.04,0.05,Matches,BarracasCentral
6,Alexis Dominguez,ar ARG,FW,27-131,9,8,600,6.7,2,0,2,1,1,1,1,0,2.6,1.8,0.0,1.9,7,8,33,0.30,0.00,0.30,0.15,0.15,0.39,0.01,0.40,0.27,0.28,Matches,BarracasCentral
7,Gonzalo Goñi,ar ARG,DF,25-206,8,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,BarracasCentral
8,Maximiliano Zalazar,ar ARG,FW,23-001,9,7,562,6.2,3,2,5,3,0,0,1,0,2.5,2.5,1.0,3.5,19,15,43,0.48,0.32,0.80,0.48,0.80,0.39,0.16,0.56,0.39,0.56,Matches,BarracasCentral
9,Lucas Brochero,ar ARG,FW,25-046,7,7,434,4.8,2,0,2,2,0,0,0,0,1.2,1.2,0.1,1.3,14,13,29,0.41,0.00,0.41,0.41,0.41,0.25,0.02,0.27,0.25,0.27,Matches,BarracasCentral
