,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Dante Campisi,ar ARG,GK,27-129,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,CAUnion
1,Lucas Gamba,ar ARG,FW,36-256,8,8,697,7.7,2,1,3,1,1,1,2,0,2.1,1.3,0.6,1.9,16,14,77,0.26,0.13,0.39,0.13,0.26,0.27,0.08,0.35,0.17,0.25,Matches,CAUnion
2,Nicolás Paz,ar ARG,DF,21-142,8,8,665,7.4,0,0,0,0,0,0,2,0,0.0,0.0,0.5,0.6,4,31,3,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches,CAUnion
3,Mauro Pittón,ar ARG,MF,29-211,8,8,575,6.4,0,1,1,0,0,0,1,0,0.2,0.2,0.5,0.7,6,28,15,0.00,0.16,0.16,0.00,0.16,0.03,0.08,0.11,0.03,0.11,Matches,CAUnion
4,Joaquín Mosqueira,ar ARG,MF,19-126,8,7,671,7.5,1,0,1,1,0,0,4,0,,,,,,,,0.13,0.00,0.13,0.13,0.13,,,,,,Matches,CAUnion
5,Mauro Luna Diale,ar ARG,"MF,FW",24-315,8,7,659,7.3,1,0,1,1,0,0,0,0,0.9,0.9,0.2,1.1,30,38,40,0.14,0.00,0.14,0.14,0.14,0.13,0.02,0.15,0.13,0.15,Matches,CAUnion
6,Claudio Corvalán,ar ARG,DF,34-349,7,7,630,7.0,0,0,0,0,0,0,5,0,0.2,0.2,0.2,0.4,9,35,2,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,CAUnion
7,Federico Vera,ar ARG,DF,25-348,8,7,617,6.9,0,0,0,0,0,0,4,0,0.1,0.1,0.3,0.4,12,20,23,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches,CAUnion
8,Bruno Pittón,ar ARG,"DF,MF",31-034,8,5,485,5.4,0,0,0,0,0,0,0,0,0.6,0.6,1.1,1.8,8,23,33,0.00,0.00,0.00,0.00,0.00,0.12,0.21,0.33,0.12,0.33,Matches,CAUnion
9,Miguel Ángel Torrén,ar ARG,DF,35-207,5,5,417,4.6,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,5,0,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches,CAUnion
10,Javier Morales,ar ARG,FW,21-002,6,5,318,3.5,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.1,4,7,12,0.28,0.00,0.28,0.28,0.28,0.28,0.02,0.30,0.28,0.30,Matches,CAUnion
11,Mateo Del Blanco,ar ARG,"DF,MF",20-127,8,4,321,3.6,1,1,2,1,0,0,1,0,0.7,0.7,0.2,0.9,10,18,23,0.28,0.28,0.56,0.28,0.56,0.19,0.07,0.26,0.19,0.26,Matches,CAUnion
12,Adrián Balboa,uy URU,FW,30-047,7,3,371,4.1,1,0,1,1,0,0,0,0,1.2,1.2,0.1,1.4,5,6,31,0.24,0.00,0.24,0.24,0.24,0.30,0.03,0.33,0.30,0.33,Matches,CAUnion
13,Franco Pardo,ar ARG,DF,26-336,5,3,303,3.4,1,0,1,1,0,0,0,0,,,,,,,,0.30,0.00,0.30,0.30,0.30,,,,,,Matches,CAUnion
14,Enzo Martín Roldán,ar ARG,MF,23-089,4,1,118,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,7,6,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches,CAUnion
15,Tiago Banega,ar ARG,MF,24-249,1,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,CAUnion
16,Valentín Fascendini,ar ARG,DF,20-359,1,1,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,1,1,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches,CAUnion
17,Jerónimo Domina,ar ARG,"MF,FW",18-141,4,0,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4,9,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches,CAUnion
18,Nicolás Orsini,ar ARG,"FW,DF",29-176,7,0,79,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,3,12,0.00,0.00,0.00,0.00,0.00,0.15,0.12,0.27,0.15,0.27,Matches,CAUnion
19,Patricio Tanda,ar ARG,"MF,FW",21-336,5,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,12,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,CAUnion
20,Lionel Verde,,,,2,0,25,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,CAUnion
21,Thiago Cardozo,uy URU,GK,27-219,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,CAUnion
22,Francisco Gerometta,ar ARG,DF,24-187,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,CAUnion
23,Juan Ludueña,ar ARG,DF,21-024,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,CAUnion
24,Lucas Meuli,ar ARG,GK,22-250,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,CAUnion
25,Rafael Profini,,DF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,CAUnion
26,Simón Rivero,ar ARG,MF,20-325,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,CAUnion
27,Squad Total,,,27.4,8,88,720,8.0,8,3,11,7,1,1,22,0,7.8,7.0,4.4,11.4,114,254,294,1.00,0.37,1.37,0.87,1.25,0.98,0.54,1.52,0.88,1.42,,CAUnion
28,Opponent Total,,,27.6,8,88,720,8.0,6,6,12,6,0,0,23,2,7.7,7.7,5.7,13.5,81,237,225,0.75,0.75,1.50,0.75,1.50,0.97,0.72,1.68,0.97,1.68,,CAUnion
