,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Sebastián Valdez,ar ARG,DF,28-121,8,8,720,8.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,11,34,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,CCCordoba
1,Pablo Minissale,ar ARG,DF,23-053,8,7,647,7.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,8,22,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,CCCordoba
2,Florián Monzón,ar ARG,FW,23-063,7,7,604,6.7,1,0,1,1,0,0,1,0,1.0,1.0,0.7,1.7,5,17,37,0.15,0.00,0.15,0.15,0.15,0.15,0.11,0.26,0.15,0.26,Matches,CCCordoba
3,Rodrigo Atencio,ar ARG,MF,21-250,8,7,526,5.8,0,2,2,0,0,0,1,0,0.2,0.2,0.5,0.7,5,21,12,0.00,0.34,0.34,0.00,0.34,0.04,0.08,0.12,0.04,0.12,Matches,CCCordoba
4,Dardo Miloc,ar ARG,"MF,DF",33-142,6,6,540,6.0,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.5,1,22,1,0.17,0.00,0.17,0.17,0.17,0.05,0.02,0.08,0.05,0.08,Matches,CCCordoba
5,Enzo Kalinski,ar ARG,MF,36-362,8,6,416,4.6,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.7,7,23,15,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.15,0.03,0.15,Matches,CCCordoba
6,Manuel García,ar ARG,MF,24-269,8,5,496,5.5,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,5,18,12,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches,CCCordoba
7,Andrés Mehring,ar ARG,GK,29-322,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,CCCordoba
8,Tomás Molina,ar ARG,FW,28-329,6,5,438,4.9,1,0,1,1,0,0,0,0,1.3,1.3,0.0,1.3,10,8,37,0.21,0.00,0.21,0.21,0.21,0.26,0.01,0.26,0.26,0.26,Matches,CCCordoba
9,Juan Meli,ar ARG,DF,23-187,7,4,482,5.4,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.19,0.19,0.00,0.19,,,,,,Matches,CCCordoba
