,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Santiago Longo,ar ARG,MF,25-329,8,8,720,8.0,0,2,2,0,0,0,1,0,0.0,0.0,0.4,0.4,1,27,3,0.00,0.25,0.25,0.00,0.25,0.00,0.05,0.05,0.00,0.05,Matches,ClubAtleticoBelgrano
1,Nahuel Losada,ar ARG,GK,30-324,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ClubAtleticoBelgrano
2,Ulises Sánchez,ar ARG,MF,25-254,8,7,671,7.5,1,3,4,1,0,0,0,0,0.7,0.7,2.0,2.7,8,31,16,0.13,0.40,0.54,0.13,0.54,0.09,0.27,0.36,0.09,0.36,Matches,ClubAtleticoBelgrano
3,Matias Moreno,ar ARG,DF,20-164,7,7,630,7.0,0,1,1,0,0,0,1,0,0.6,0.6,1.0,1.6,2,12,0,0.00,0.14,0.14,0.00,0.14,0.09,0.14,0.23,0.09,0.23,Matches,ClubAtleticoBelgrano
4,Lucas Passerini,ar ARG,FW,29-234,7,7,595,6.6,3,1,4,3,0,0,2,1,2.5,2.5,0.6,3.1,4,12,45,0.45,0.15,0.61,0.45,0.61,0.38,0.09,0.47,0.38,0.47,Matches,ClubAtleticoBelgrano
5,Francisco González,ar ARG,"MF,FW",26-343,8,7,576,6.4,0,0,0,0,0,0,1,0,0.6,0.6,0.3,0.9,7,15,29,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.14,0.09,0.14,Matches,ClubAtleticoBelgrano
6,Juan Barinaga,ar ARG,DF,23-148,7,6,524,5.8,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.6,13,11,17,0.17,0.00,0.17,0.17,0.17,0.08,0.02,0.10,0.08,0.10,Matches,ClubAtleticoBelgrano
7,Matias Ibacache,cl CHI,DF,25-055,6,6,496,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,14,14,15,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Matches,ClubAtleticoBelgrano
8,Nicolás Meriano,ar ARG,DF,23-118,7,6,494,5.5,1,0,1,1,0,0,2,0,0.0,0.0,0.0,0.1,0,8,0,0.18,0.00,0.18,0.18,0.18,0.01,0.00,0.01,0.01,0.01,Matches,ClubAtleticoBelgrano
9,Esteban Rolón,ar ARG,MF,28-347,6,6,437,4.9,0,0,0,0,0,0,2,1,0.4,0.4,0.2,0.5,7,14,5,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.11,0.07,0.11,Matches,ClubAtleticoBelgrano
