,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Santi Ramos Mingo,ar ARG,DF,22-104,8,8,720,8.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,7,28,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches,DefensayJust
1,Nicolás Tripichio,ar ARG,"DF,MF",28-059,8,8,712,7.9,1,1,2,1,0,0,1,0,0.5,0.5,0.2,0.8,10,43,32,0.13,0.13,0.25,0.13,0.25,0.07,0.03,0.10,0.07,0.10,Matches,DefensayJust
2,Nicolás Fernández,ar ARG,FW,28-025,8,8,703,7.8,2,1,3,2,0,0,0,0,2.3,2.3,1.2,3.6,10,21,35,0.26,0.13,0.38,0.26,0.38,0.30,0.16,0.46,0.30,0.46,Matches,DefensayJust
3,Gastón Togni,ar ARG,FW,26-166,8,8,692,7.7,3,1,4,3,0,0,0,0,1.3,1.3,1.4,2.7,20,13,82,0.39,0.13,0.52,0.39,0.52,0.17,0.18,0.35,0.17,0.35,Matches,DefensayJust
4,Alexis Soto,ar ARG,DF,30-136,8,8,685,7.6,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,16,49,31,0.00,0.13,0.13,0.00,0.13,0.00,0.05,0.05,0.00,0.05,Matches,DefensayJust
5,Julián López,ar ARG,MF,24-056,8,8,670,7.4,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,9,52,4,0.00,0.13,0.13,0.00,0.13,0.01,0.07,0.08,0.01,0.08,Matches,DefensayJust
6,Emanuel Aguilera,ar ARG,DF,34-267,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,9,19,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,DefensayJust
7,Cristopher Fiermarin,uy URU,GK,26-063,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,DefensayJust
8,Luciano Ramón Herrera,ar ARG,FW,27-278,8,7,565,6.3,1,0,1,1,0,0,1,0,,,,,,,,0.16,0.00,0.16,0.16,0.16,,,,,,Matches,DefensayJust
9,Gabriel Alanís,ar ARG,"MF,FW",29-354,6,5,396,4.4,1,1,2,1,0,0,1,0,0.9,0.9,0.1,1.1,11,7,27,0.23,0.23,0.45,0.23,0.45,0.21,0.03,0.24,0.21,0.24,Matches,DefensayJust
10,Ezequiel Cannavo,ar ARG,DF,21-266,5,4,291,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,10,8,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,DefensayJust
11,Kevin Lopez,ar ARG,MF,22-067,7,3,345,3.8,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,10,30,13,0.00,0.26,0.26,0.00,0.26,0.01,0.14,0.15,0.01,0.15,Matches,DefensayJust
12,Rodrigo Bogarín,py PAR,MF,26-285,4,3,224,2.5,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,6,18,3,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches,DefensayJust
13,Franco Romero,ar ARG,"MF,FW",23-316,4,1,125,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,DefensayJust
14,Elías Calderón,ar ARG,"DF,MF",23-029,4,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,DefensayJust
15,Enrique Bologna,ar ARG,GK,42-020,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,DefensayJust
16,Lautaro Fedele,ar ARG,FW,22-234,2,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,DefensayJust
17,Aaron Nicolás Molinas,ar ARG,MF,23-215,3,0,77,0.9,1,0,1,1,0,0,0,0,0.4,0.4,0.3,0.7,2,6,4,1.17,0.00,1.17,1.17,1.17,0.50,0.33,0.83,0.50,0.83,Matches,DefensayJust
18,Darío Cáceres,py PAR,"DF,FW",26-038,5,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,DefensayJust
19,Santiago Godoy,ar ARG,"MF,FW",23-029,5,0,40,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,5,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches,DefensayJust
20,Yorman Zapata,co COL,MF,23-185,1,0,19,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,1,5,0.00,0.00,0.00,0.00,0.00,1.44,0.11,1.55,1.44,1.55,Matches,DefensayJust
21,Nicolás Palavecino,ar ARG,MF,20-341,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,DefensayJust
22,Elián Sosa,ar ARG,FW,20-295,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,DefensayJust
23,Benjamín Schamine,ar ARG,"MF,FW",20-132,2,0,11,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23,Matches,DefensayJust
24,Facundo Echevarría,ar ARG,"MF,FW",21-217,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,DefensayJust
25,Nicolás Blandi,ar ARG,MF,34-051,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,DefensayJust
