,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Santiago Ascacíbar,ar ARG,MF,27-013,9,9,810,9.0,1,0,1,1,0,0,3,0,0.5,0.5,0.7,1.2,8,58,12,0.11,0.00,0.11,0.11,0.11,0.06,0.07,0.13,0.06,0.13,Matches,Estudiantes
1,Matías Mansilla,ar ARG,GK,28-023,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Estudiantes
2,Zaid Romero,ar ARG,DF,24-085,8,8,719,8.0,1,0,1,1,0,0,0,1,0.4,0.4,0.0,0.4,6,29,1,0.13,0.00,0.13,0.13,0.13,0.05,0.00,0.05,0.05,0.05,Matches,Estudiantes
3,Enzo Pérez,ar ARG,MF,38-016,8,8,633,7.0,0,1,1,0,0,0,2,0,0.1,0.1,0.2,0.2,5,56,8,0.00,0.14,0.14,0.00,0.14,0.01,0.02,0.03,0.01,0.03,Matches,Estudiantes
4,Javier Urzúa,cl CHI,MF,24-201,9,8,524,5.8,1,1,2,1,0,0,2,0,,,,,,,,0.17,0.17,0.34,0.17,0.34,,,,,,Matches,Estudiantes
5,Federico Fernández,ar ARG,DF,35-017,8,7,669,7.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,5,36,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,Estudiantes
6,Gastón Benedetti,ar ARG,DF,22-346,9,7,648,7.2,0,0,0,0,0,0,5,0,0.2,0.2,0.4,0.5,11,33,27,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches,Estudiantes
7,Javier Marcelo Correa,ar ARG,FW,31-138,8,7,641,7.1,1,1,2,1,0,0,1,0,1.9,1.9,1.6,3.5,18,16,56,0.14,0.14,0.28,0.14,0.28,0.27,0.22,0.49,0.27,0.49,Matches,Estudiantes
8,Eros Mancuso,ar ARG,DF,24-327,7,7,630,7.0,2,0,2,2,0,0,4,0,0.8,0.8,1.6,2.4,9,25,47,0.29,0.00,0.29,0.29,0.29,0.11,0.23,0.34,0.11,0.34,Matches,Estudiantes
9,José Sosa,ar ARG,"MF,FW",38-264,9,7,562,6.2,0,1,1,0,0,0,1,0,0.5,0.5,1.4,1.9,17,62,44,0.00,0.16,0.16,0.00,0.16,0.08,0.22,0.30,0.08,0.30,Matches,Estudiantes
10,Mauro Méndez,uy URU,FW,25-052,7,5,387,4.3,3,1,4,3,0,0,1,0,2.9,2.9,0.4,3.3,4,8,27,0.70,0.23,0.93,0.70,0.93,0.68,0.09,0.77,0.68,0.77,Matches,Estudiantes
11,Eric Meza,ar ARG,DF,24-336,6,4,316,3.5,0,1,1,0,0,0,3,0,0.2,0.2,0.6,0.9,11,15,39,0.00,0.28,0.28,0.00,0.28,0.07,0.18,0.25,0.07,0.25,Matches,Estudiantes
12,Santiago Flores,ar ARG,DF,22-350,4,3,288,3.2,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,1,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,Estudiantes
13,Fernando Zuqui,ar ARG,MF,32-103,6,2,213,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,5,18,1,0.00,0.00,0.00,0.00,0.00,0.02,0.21,0.23,0.02,0.23,Matches,Estudiantes
14,Franco Zapiola,ar ARG,"FW,MF",23-019,6,2,181,2.0,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,8,8,31,0.00,0.50,0.50,0.00,0.50,0.13,0.30,0.43,0.13,0.43,Matches,Estudiantes
15,Guido Carrillo,ar ARG,FW,32-289,4,2,162,1.8,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,2,7,6,0.00,0.00,0.00,0.00,0.00,0.37,0.07,0.44,0.37,0.44,Matches,Estudiantes
16,Edwin Cetré,co COL,"MF,FW",26-068,6,1,260,2.9,0,0,0,0,0,0,0,0,0.4,0.4,0.8,1.1,16,4,37,0.00,0.00,0.00,0.00,0.00,0.12,0.27,0.39,0.12,0.39,Matches,Estudiantes
17,Tiago Palacios,uy URU,"MF,FW",22-347,5,1,161,1.8,1,1,2,1,0,0,1,0,0.4,0.4,0.3,0.7,5,6,14,0.56,0.56,1.12,0.56,1.12,0.25,0.15,0.39,0.25,0.39,Matches,Estudiantes
18,Juan Zozaya,ar ARG,GK,22-272,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Estudiantes
19,Axel Atum,ar ARG,FW,18-067,1,1,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Estudiantes
20,Alexis Manyoma,co COL,MF,21-066,1,1,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Estudiantes
21,Pablo Piatti,ar ARG,"FW,MF",34-344,4,0,84,0.9,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,5,7,0.00,0.00,0.00,0.00,0.00,0.27,0.14,0.41,0.27,0.41,Matches,Estudiantes
22,Ezequiel Naya,ar ARG,FW,22-218,4,0,78,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,4,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches,Estudiantes
23,Luciano Lollo,ar ARG,MF,36-346,1,0,30,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.56,0.56,0.56,Matches,Estudiantes
24,Nehuén Benedetti,ar ARG,MF,19-014,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Estudiantes
25,Rodrigo Borzone,ar ARG,GK,19-140,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Estudiantes
26,Nicolás Fernández,ar ARG,DF,22-027,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Estudiantes
27,Román Gómez,,DF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Estudiantes
28,Bautista Kociubinski,ar ARG,MF,22-318,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Estudiantes
29,Squad Total,,,28.4,9,99,810,9.0,10,8,18,10,0,0,29,1,11.6,11.6,9.9,21.5,134,395,364,1.11,0.89,2.00,1.11,2.00,1.29,1.09,2.38,1.29,2.38,,Estudiantes
30,Opponent Total,,,26.6,9,99,810,9.0,4,3,7,4,0,0,28,2,6.3,6.3,4.5,10.8,118,270,270,0.44,0.33,0.78,0.44,0.78,0.70,0.50,1.20,0.70,1.20,,Estudiantes
