,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Franco Petroli,ar ARG,GK,25-272,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GodoyCruz
1,Salomón Rodríguez,uy URU,FW,24-022,7,6,377,4.2,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,2,5,18,0.00,0.00,0.00,0.00,0.00,0.13,0.04,0.16,0.13,0.16,Matches,GodoyCruz
2,Tomás Conechny,ar ARG,FW,25-345,7,5,520,5.8,3,1,4,2,1,1,0,0,3.4,2.6,0.6,3.2,9,16,49,0.52,0.17,0.69,0.35,0.52,0.59,0.10,0.69,0.46,0.56,Matches,GodoyCruz
3,Roberto Nicolás Fernández,uy URU,MF,26-007,7,5,502,5.6,0,2,2,0,0,0,3,0,,,,,,,,0.00,0.36,0.36,0.00,0.36,,,,,,Matches,GodoyCruz
4,Federico Rasmussen,ar ARG,DF,32-005,6,5,461,5.1,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,8,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,GodoyCruz
5,Pier Barrios,ar ARG,DF,33-252,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,16,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,GodoyCruz
6,Juan Bautista Cejas,ar ARG,FW,26-003,6,5,390,4.3,0,1,1,0,0,0,0,0,0.5,0.5,0.3,0.8,6,12,22,0.00,0.23,0.23,0.00,0.23,0.11,0.08,0.19,0.11,0.19,Matches,GodoyCruz
7,Lucas Arce,ar ARG,DF,26-208,7,4,457,5.1,0,1,1,0,0,0,1,0,0.0,0.0,0.5,0.5,10,28,16,0.00,0.20,0.20,0.00,0.20,0.01,0.09,0.10,0.01,0.10,Matches,GodoyCruz
8,Thomas Galdames,cl CHI,DF,25-110,6,4,418,4.6,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.4,5,17,10,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches,GodoyCruz
9,Vicente Poggi,uy URU,MF,21-242,5,4,331,3.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,19,9,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,GodoyCruz
10,Manuel Guillén,ar ARG,DF,22-185,5,4,297,3.3,1,1,2,1,0,0,3,0,0.0,0.0,0.4,0.4,3,9,8,0.30,0.30,0.61,0.30,0.61,0.01,0.11,0.12,0.01,0.12,Matches,GodoyCruz
11,Juan Andrada,ar ARG,MF,29-065,4,4,247,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,GodoyCruz
