,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Bruno Bianchi,ar ARG,DF,35-016,8,8,720,8.0,1,1,2,1,0,0,5,0,0.3,0.3,0.3,0.6,0,6,0,0.12,0.12,0.25,0.12,0.25,0.04,0.03,0.07,0.04,0.07,Matches,IndependienteRivadavia
1,Gonzalo Marinelli,ar ARG,GK,35-026,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,IndependienteRivadavia
2,Matías Reali,ar ARG,"MF,FW",26-111,8,8,702,7.8,0,3,3,0,0,0,1,0,0.5,0.5,1.8,2.2,35,11,82,0.00,0.38,0.38,0.00,0.38,0.06,0.23,0.29,0.06,0.29,Matches,IndependienteRivadavia
3,Luciano Abecasis,ar ARG,"MF,DF",33-274,8,8,692,7.7,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.3,10,36,22,0.00,0.13,0.13,0.00,0.13,0.01,0.16,0.17,0.01,0.17,Matches,IndependienteRivadavia
4,Juan Manuel Vázquez,ar ARG,MF,29-223,8,7,620,6.9,1,1,2,1,0,0,1,0,0.9,0.9,0.4,1.2,6,38,18,0.15,0.15,0.29,0.15,0.29,0.13,0.05,0.18,0.13,0.18,Matches,IndependienteRivadavia
5,Emmanuel Más,ar ARG,DF,35-049,7,7,578,6.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,IndependienteRivadavia
6,Gastón Gil Romero,ar ARG,MF,30-303,7,7,559,6.2,0,1,1,0,0,0,2,0,0.0,0.0,0.1,0.2,2,18,3,0.00,0.16,0.16,0.00,0.16,0.01,0.02,0.03,0.01,0.03,Matches,IndependienteRivadavia
7,Mauro Maidana,ar ARG,DF,33-236,6,6,520,5.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,16,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,IndependienteRivadavia
8,Francisco Petrasso,ar ARG,DF,22-005,6,6,449,5.0,0,0,0,0,0,0,4,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,IndependienteRivadavia
9,Alex Arce,py PAR,FW,28-262,5,5,353,3.9,2,0,2,2,0,0,1,0,,,,,,,,0.51,0.00,0.51,0.51,0.51,,,,,,Matches,IndependienteRivadavia
