,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Joaquín Laso,ar ARG,DF,33-249,9,9,810,9.0,1,0,1,1,0,0,3,0,0.1,0.1,0.1,0.1,11,27,2,0.11,0.00,0.11,0.11,0.11,0.01,0.01,0.01,0.01,0.01,Matches,Independiente
1,Iván Marcone,ar ARG,MF,33-280,9,9,810,9.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,3,54,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,Independiente
2,Rodrigo Rey,ar ARG,GK,33-001,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Independiente
3,Gabriel Ávalos,py PAR,FW,33-149,9,8,730,8.1,0,1,1,0,0,1,1,0,2.9,2.1,2.2,4.3,11,12,47,0.00,0.12,0.12,0.00,0.12,0.36,0.27,0.63,0.26,0.53,Matches,Independiente
4,Mauricio Isla,cl CHI,DF,35-271,9,8,726,8.1,0,1,1,0,0,0,3,0,0.0,0.0,1.5,1.5,10,42,57,0.00,0.12,0.12,0.00,0.12,0.00,0.18,0.19,0.00,0.19,Matches,Independiente
5,Lucas González,ar ARG,"MF,FW",23-280,8,6,478,5.3,1,0,1,1,0,0,1,0,1.1,1.1,0.4,1.6,13,33,31,0.19,0.00,0.19,0.19,0.19,0.21,0.08,0.29,0.21,0.29,Matches,Independiente
6,Damián Pérez,ar ARG,DF,35-078,7,6,431,4.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,9,26,17,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,Independiente
7,Gabriel Neves,uy URU,MF,26-211,7,6,428,4.8,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,4,31,12,0.21,0.00,0.21,0.21,0.21,0.06,0.10,0.16,0.06,0.16,Matches,Independiente
8,Federico Mancuello,ar ARG,MF,34-349,7,5,468,5.2,1,1,2,1,0,0,1,0,1.2,1.2,1.4,2.6,7,27,16,0.19,0.19,0.38,0.19,0.38,0.23,0.27,0.50,0.23,0.50,Matches,Independiente
9,Felipe Aguilar,co COL,DF,31-049,6,5,467,5.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,10,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,Independiente
