,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Fernando Alarcón,ar ARG,DF,29-262,8,8,720,8.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,3,18,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,InstitutoAtleticoCentralCordoba
1,Manuel Roffo,ar ARG,GK,23-335,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,InstitutoAtleticoCentralCordoba
2,Gastón Lodico,ar ARG,MF,25-281,8,8,703,7.8,0,5,5,0,0,0,0,0,0.3,0.3,2.0,2.3,10,71,18,0.00,0.64,0.64,0.00,0.64,0.04,0.26,0.30,0.04,0.30,Matches,InstitutoAtleticoCentralCordoba
3,Damián Puebla,ar ARG,"MF,FW",21-171,8,8,602,6.7,5,0,5,3,2,2,1,0,2.6,1.0,0.6,1.6,22,23,38,0.75,0.00,0.75,0.45,0.45,0.39,0.08,0.48,0.16,0.24,Matches,InstitutoAtleticoCentralCordoba
4,Roberto Bochi,ar ARG,MF,34-079,8,7,627,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,InstitutoAtleticoCentralCordoba
5,Miguel Brizuela,ar ARG,DF,27-059,7,7,575,6.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,33,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,InstitutoAtleticoCentralCordoba
6,Juan Franco Arrellaga,py PAR,DF,32-023,6,6,471,5.2,0,0,0,0,0,0,2,0,0.1,0.1,0.7,0.8,5,13,15,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.16,0.02,0.16,Matches,InstitutoAtleticoCentralCordoba
7,Jonathan Bay,ar ARG,DF,31-032,6,5,447,5.0,1,1,2,1,0,0,1,0,0.4,0.4,0.3,0.7,3,12,30,0.20,0.20,0.40,0.20,0.40,0.08,0.05,0.14,0.08,0.14,Matches,InstitutoAtleticoCentralCordoba
8,Facundo Suárez,ar ARG,FW,29-247,8,5,414,4.6,2,1,3,2,0,0,1,0,1.9,1.9,0.3,2.2,7,5,21,0.43,0.22,0.65,0.43,0.65,0.42,0.06,0.48,0.42,0.48,Matches,InstitutoAtleticoCentralCordoba
9,Silvio Romero,ar ARG,FW,35-226,7,5,365,4.1,0,1,1,0,0,0,0,0,0.4,0.4,0.3,0.7,5,6,30,0.00,0.25,0.25,0.00,0.25,0.11,0.07,0.17,0.11,0.17,Matches,InstitutoAtleticoCentralCordoba
10,Ignacio Russo,ar ARG,FW,23-082,7,3,317,3.5,1,0,1,1,0,0,1,0,1.4,1.4,0.4,1.8,4,9,16,0.28,0.00,0.28,0.28,0.28,0.41,0.11,0.52,0.41,0.52,Matches,InstitutoAtleticoCentralCordoba
11,Lucas Rodríguez,ar ARG,"DF,MF",30-159,4,3,273,3.0,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.2,6,18,18,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches,InstitutoAtleticoCentralCordoba
12,Víctor Cabrera,ar ARG,DF,31-026,4,3,253,2.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,InstitutoAtleticoCentralCordoba
13,Guido Mainero,ar ARG,"MF,FW",28-347,6,3,253,2.8,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.5,7,8,15,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,Matches,InstitutoAtleticoCentralCordoba
14,Brian Cuello,ar ARG,MF,26-156,7,2,288,3.2,1,0,1,1,0,0,0,0,,,,,,,,0.31,0.00,0.31,0.31,0.31,,,,,,Matches,InstitutoAtleticoCentralCordoba
15,Jonás Acevedo,ar ARG,"MF,FW",27-027,5,2,263,2.9,0,1,1,0,0,0,1,0,0.9,0.9,0.7,1.6,11,13,13,0.00,0.34,0.34,0.00,0.34,0.30,0.25,0.56,0.30,0.56,Matches,InstitutoAtleticoCentralCordoba
16,Giuliano Cerato,ar ARG,"DF,MF",25-268,4,2,249,2.8,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,4,9,14,0.00,0.00,0.00,0.00,0.00,0.09,0.08,0.17,0.09,0.17,Matches,InstitutoAtleticoCentralCordoba
17,Nicolás Barrientos,ar ARG,"MF,FW",28-334,4,1,117,1.3,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.6,0,3,7,0.77,0.00,0.77,0.77,0.77,0.36,0.12,0.48,0.36,0.48,Matches,InstitutoAtleticoCentralCordoba
18,Rodrigo Pérez,uy URU,MF,27-225,2,1,69,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,1,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches,InstitutoAtleticoCentralCordoba
19,Gregorio Rodríguez,ar ARG,FW,24-047,1,1,39,0.4,0,0,0,0,0,0,0,1,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches,InstitutoAtleticoCentralCordoba
20,Santiago Rodriguez,ar ARG,"FW,DF",26-194,5,0,74,0.8,1,0,1,1,0,0,2,0,0.9,0.9,0.7,1.6,8,3,9,1.22,0.00,1.22,1.22,1.22,1.10,0.85,1.95,1.10,1.95,Matches,InstitutoAtleticoCentralCordoba
21,Stéfano Moreyra,ar ARG,MF,22-167,1,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,InstitutoAtleticoCentralCordoba
22,Nicolás Dubersarsky,ar ARG,MF,19-074,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,InstitutoAtleticoCentralCordoba
