,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Lucas Acosta,ar ARG,GK,28-363,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Lanus
1,Marcelino Moreno,ar ARG,"MF,FW",29-258,9,9,728,8.1,3,1,4,3,0,0,1,0,1.9,1.9,0.8,2.7,37,25,52,0.37,0.12,0.49,0.37,0.49,0.23,0.10,0.34,0.23,0.34,Matches,Lanus
2,Raúl Loaiza,co COL,MF,29-275,9,9,653,7.3,0,1,1,0,0,0,2,0,0.1,0.1,0.3,0.5,2,32,8,0.00,0.14,0.14,0.00,0.14,0.02,0.05,0.07,0.02,0.07,Matches,Lanus
3,Braian Aguirre,ar ARG,"DF,FW",23-225,9,8,755,8.4,0,0,0,0,0,0,4,0,0.5,0.5,0.3,0.8,17,35,34,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches,Lanus
4,Walter Bou,ar ARG,FW,30-197,9,8,625,6.9,4,1,5,4,0,0,0,0,1.9,1.9,0.5,2.3,7,19,50,0.58,0.14,0.72,0.58,0.72,0.27,0.07,0.33,0.27,0.33,Matches,Lanus
5,Brian Luciatti,ar ARG,DF,30-357,7,7,630,7.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,20,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,Lanus
6,Julio Soler,ar ARG,DF,19-022,7,6,541,6.0,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,17,13,19,0.00,0.17,0.17,0.00,0.17,0.01,0.11,0.12,0.01,0.12,Matches,Lanus
7,Ezequiel Muñoz,ar ARG,DF,33-153,6,6,540,6.0,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.8,0,5,1,0.00,0.17,0.17,0.00,0.17,0.00,0.13,0.13,0.00,0.13,Matches,Lanus
8,Felipe Peña,ar ARG,MF,22-339,8,6,533,5.9,2,0,2,2,0,0,2,0,0.4,0.4,0.1,0.5,5,25,3,0.34,0.00,0.34,0.34,0.34,0.07,0.02,0.09,0.07,0.09,Matches,Lanus
9,Luciano Boggio,it ITA,"MF,FW",24-365,9,6,512,5.7,1,0,1,1,0,0,4,0,1.0,1.0,0.5,1.5,10,25,15,0.18,0.00,0.18,0.18,0.18,0.17,0.09,0.26,0.17,0.26,Matches,Lanus
10,Ramiro Carrera,ar ARG,"MF,FW",30-137,9,5,474,5.3,0,2,2,0,0,0,4,0,0.4,0.4,1.4,1.8,13,27,24,0.00,0.38,0.38,0.00,0.38,0.08,0.26,0.34,0.08,0.34,Matches,Lanus
11,Juan Cáceres,py PAR,DF,23-282,5,5,338,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.5,5,14,14,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13,Matches,Lanus
12,Leandro Díaz,ar ARG,FW,31-277,5,4,383,4.3,2,1,3,2,0,0,0,0,1.3,1.3,0.4,1.7,2,7,20,0.47,0.23,0.70,0.47,0.70,0.30,0.10,0.40,0.30,0.40,Matches,Lanus
13,Nery Domínguez,ar ARG,DF,33-335,3,3,270,3.0,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,3,11,2,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.21,0.07,0.21,Matches,Lanus
14,Augusto Lotti,it ITA,"FW,MF",27-273,8,2,293,3.3,1,0,1,1,0,0,1,0,0.9,0.9,0.3,1.2,9,6,14,0.31,0.00,0.31,0.31,0.31,0.26,0.09,0.36,0.26,0.36,Matches,Lanus
15,Jose Domínguez,py PAR,DF,27-233,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,5,0,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches,Lanus
16,Jonathan Torres,ar ARG,FW,27-071,7,1,181,2.0,0,2,2,0,0,0,2,0,0.5,0.5,0.3,0.8,0,4,18,0.00,0.99,0.99,0.00,0.99,0.27,0.14,0.41,0.27,0.41,Matches,Lanus
17,Nicolás Morgantini,ar ARG,DF,29-180,4,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,3,7,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,Lanus
18,Agustín Rodríguez,ar ARG,"MF,FW",19-312,5,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,6,6,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,Lanus
19,Franco Watson,ar ARG,MF,24-068,1,1,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Lanus
20,Fabio Álvarez,ar ARG,MF,31-046,6,0,112,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,1,9,5,0.00,0.00,0.00,0.00,0.00,0.09,0.41,0.50,0.09,0.50,Matches,Lanus
21,David González,ar ARG,"MF,DF",19-310,3,0,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Lanus
22,Gonzalo Pérez,uy URU,MF,23-065,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches,Lanus
23,Alan Aguerre,ar ARG,GK,33-199,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Lanus
24,Brian Aguilar,ar ARG,DF,20-331,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Lanus
25,Dylan Aquino,ar ARG,MF,18-279,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Lanus
26,Bruno Cabrera,ar ARG,DF,26-316,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Lanus
27,Franco Orozco,ar ARG,FW,22-060,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Lanus
28,Squad Total,,,27.8,9,99,810,9.0,13,10,23,13,0,0,29,0,9.8,9.8,7.7,17.5,141,299,292,1.44,1.11,2.56,1.44,2.56,1.09,0.86,1.95,1.09,1.95,,Lanus
29,Opponent Total,,,27.2,9,99,810,9.0,6,5,11,6,0,0,20,0,6.7,6.7,5.0,11.7,117,323,314,0.67,0.56,1.22,0.67,1.22,0.74,0.56,1.30,0.74,1.30,,Lanus
