,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Ian Glavinovich,ar ARG,DF,22-134,9,9,810,9.0,0,1,1,0,0,0,4,0,0.4,0.4,0.8,1.2,7,25,5,0.00,0.11,0.11,0.00,0.11,0.05,0.09,0.13,0.05,0.13,Matches,NewellsOB
1,Ramiro Macagno,ar ARG,GK,26-357,9,9,810,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,NewellsOB
2,Gustavo Velásquez,py PAR,DF,32-327,9,9,810,9.0,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,3,27,0,0.11,0.00,0.11,0.11,0.11,0.02,0.03,0.04,0.02,0.04,Matches,NewellsOB
3,Armando Méndez,uy URU,DF,27-344,9,9,801,8.9,0,2,2,0,0,0,2,0,0.3,0.3,0.9,1.1,40,34,42,0.00,0.22,0.22,0.00,0.22,0.03,0.10,0.13,0.03,0.13,Matches,NewellsOB
4,Ángelo Martino,ar ARG,DF,25-278,9,9,776,8.6,0,3,3,0,0,0,5,0,0.1,0.1,2.1,2.2,26,31,37,0.00,0.35,0.35,0.00,0.35,0.01,0.24,0.25,0.01,0.25,Matches,NewellsOB
5,Brian Aguirre,ar ARG,FW,20-282,9,8,693,7.7,1,1,2,1,0,0,0,0,0.9,0.9,0.2,1.1,33,20,75,0.13,0.13,0.26,0.13,0.26,0.12,0.02,0.14,0.12,0.14,Matches,NewellsOB
6,Juan Ignacio Ramírez,uy URU,FW,27-037,9,8,644,7.2,6,0,6,6,0,0,0,0,3.5,3.5,0.2,3.7,2,12,20,0.84,0.00,0.84,0.84,0.84,0.49,0.03,0.52,0.49,0.52,Matches,NewellsOB
7,Éver Banega,ar ARG,MF,35-254,8,8,567,6.3,0,2,2,0,0,0,1,1,0.9,0.9,1.2,2.1,21,81,31,0.00,0.32,0.32,0.00,0.32,0.14,0.19,0.33,0.14,0.33,Matches,NewellsOB
8,Franco Díaz,ar ARG,MF,23-194,8,8,537,6.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,6,16,14,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,NewellsOB
9,Rodrigo Fernández,uy URU,MF,28-066,7,7,559,6.2,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,10,40,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches,NewellsOB
10,Guillermo May,uy URU,"FW,MF",25-364,9,6,491,5.5,0,1,1,0,0,0,0,0,1.0,1.0,0.9,1.9,9,7,34,0.00,0.18,0.18,0.00,0.18,0.19,0.16,0.35,0.19,0.35,Matches,NewellsOB
11,Francisco González,ar ARG,FW,22-338,4,4,294,3.3,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,9,6,26,0.31,0.00,0.31,0.31,0.31,0.18,0.07,0.24,0.18,0.24,Matches,NewellsOB
12,Julián Fernández,ar ARG,MF,28-322,7,2,239,2.7,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,NewellsOB
13,Ignacio Schor,ar ARG,FW,23-218,6,1,179,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6,5,21,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,NewellsOB
14,Guillermo Balzi,ar ARG,"FW,MF",22-230,3,1,97,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,5,8,5,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.38,0.19,0.38,Matches,NewellsOB
15,David Sotelo,ar ARG,MF,20-223,1,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,4,3,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.16,0.03,0.16,Matches,NewellsOB
16,Jerónimo Cacciabue,ar ARG,MF,26-048,6,0,135,1.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,NewellsOB
17,Giovani Chiaverano,ar ARG,"FW,MF",18-293,6,0,113,1.3,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,3,2,5,0.80,0.00,0.80,0.80,0.80,0.45,0.00,0.45,0.45,0.45,Matches,NewellsOB
18,Leonel Vangioni,ar ARG,"MF,DF",36-309,6,0,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,NewellsOB
19,Esteban Fernández,ar ARG,"MF,FW",22-063,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,NewellsOB
20,Jeremías Pérez Tica,ar ARG,FW,20-328,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,NewellsOB
21,Augusto Schott,ar ARG,"MF,DF",24-052,2,0,20,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,NewellsOB
22,Brian Calderara,ar ARG,"DF,MF",25-161,1,0,18,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,NewellsOB
23,Matko Miljevic,us USA,"FW,MF",22-305,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,NewellsOB
24,Misael Jaime,ar ARG,FW,20-056,1,0,5,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,1.29,1.29,0.00,1.29,Matches,NewellsOB
25,Lucas Hoyos,ar ARG,GK,34-315,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,NewellsOB
26,Tomás Jacob,ar ARG,MF,19-324,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,NewellsOB
27,Carlos Ordóñez,co COL,DF,21-267,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,NewellsOB
28,Genaro Rossi,ar ARG,FW,21-251,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,NewellsOB
29,Squad Total,,,26.6,9,99,810,9.0,10,10,20,10,0,0,26,1,8.8,8.8,7.2,16.0,191,338,337,1.11,1.11,2.22,1.11,2.22,0.98,0.80,1.78,0.98,1.78,,NewellsOB
30,Opponent Total,,,27.3,9,99,810,9.0,10,8,18,10,0,0,26,0,8.4,8.4,6.5,14.9,106,292,292,1.11,0.89,2.00,1.11,2.00,0.93,0.73,1.66,0.93,1.66,,NewellsOB
