,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Ian Glavinovich,ar ARG,DF,22-129,8,8,720,8.0,0,1,1,0,0,0,4,0,0.4,0.4,0.6,1.0,7,22,5,0.00,0.12,0.12,0.00,0.12,0.05,0.08,0.13,0.05,0.13,Matches,NewellsOB
1,Ramiro Macagno,ar ARG,GK,26-352,8,8,720,8.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,NewellsOB
2,Gustavo Velásquez,py PAR,DF,32-322,8,8,720,8.0,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.4,2,22,0,0.12,0.00,0.12,0.12,0.12,0.02,0.03,0.05,0.02,0.05,Matches,NewellsOB
3,Armando Méndez,uy URU,DF,27-339,8,8,711,7.9,0,2,2,0,0,0,2,0,0.3,0.3,0.9,1.1,36,33,38,0.00,0.25,0.25,0.00,0.25,0.03,0.11,0.14,0.03,0.14,Matches,NewellsOB
4,Ángelo Martino,ar ARG,DF,25-273,8,8,704,7.8,0,2,2,0,0,0,4,0,0.0,0.0,1.2,1.2,22,27,30,0.00,0.26,0.26,0.00,0.26,0.00,0.15,0.15,0.00,0.15,Matches,NewellsOB
5,Brian Aguirre,ar ARG,FW,20-277,8,7,628,7.0,1,1,2,1,0,0,0,0,0.7,0.7,0.2,0.8,28,18,71,0.14,0.14,0.29,0.14,0.29,0.09,0.02,0.12,0.09,0.12,Matches,NewellsOB
6,Juan Ignacio Ramírez,uy URU,FW,27-032,8,7,562,6.2,5,0,5,5,0,0,0,0,2.6,2.6,0.1,2.7,3,11,15,0.80,0.00,0.80,0.80,0.80,0.41,0.02,0.43,0.41,0.43,Matches,NewellsOB
7,Rodrigo Fernández,uy URU,MF,28-061,7,7,559,6.2,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,10,40,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches,NewellsOB
8,Éver Banega,ar ARG,MF,35-249,7,7,485,5.4,0,2,2,0,0,0,1,1,0.8,0.8,0.9,1.7,16,66,23,0.00,0.37,0.37,0.00,0.37,0.15,0.17,0.32,0.15,0.32,Matches,NewellsOB
9,Franco Díaz,ar ARG,MF,23-189,7,7,447,5.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,5,13,12,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,NewellsOB
10,Guillermo May,uy URU,"FW,MF",25-359,8,6,483,5.4,0,1,1,0,0,0,0,0,1.0,1.0,0.9,1.9,9,7,34,0.00,0.19,0.19,0.00,0.19,0.19,0.16,0.35,0.19,0.35,Matches,NewellsOB
11,Francisco González,ar ARG,FW,22-333,3,3,204,2.3,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.6,7,3,14,0.44,0.00,0.44,0.44,0.44,0.20,0.08,0.29,0.20,0.29,Matches,NewellsOB
12,Julián Fernández,ar ARG,MF,28-317,6,1,167,1.9,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,NewellsOB
13,Ignacio Schor,ar ARG,FW,23-213,5,1,154,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,3,21,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,NewellsOB
