,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Juan Cozzani,ar ARG,GK,25-152,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Platense
1,Ignacio Vázquez,ar ARG,DF,26-268,9,9,810,9.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Platense
2,Iván Gómez,ar ARG,MF,27-010,9,9,784,8.7,0,0,0,0,0,0,4,0,0.7,0.7,0.5,1.1,10,35,21,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.13,0.08,0.13,Matches,Platense
3,Leonel Picco,ar ARG,"DF,MF",24-139,8,8,645,7.2,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,3,18,2,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,Matches,Platense
4,Sasha Marcich,ar ARG,"DF,MF",25-285,8,7,654,7.3,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.8,13,20,39,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches,Platense
5,Gastón Suso,ar ARG,DF,32-363,7,7,630,7.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.3,3,19,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,Platense
6,Luciano Ferreyra,ar ARG,"MF,FW",22-019,9,7,592,6.6,0,0,0,0,0,0,0,0,1.2,1.2,1.0,2.2,28,23,44,0.00,0.00,0.00,0.00,0.00,0.18,0.15,0.33,0.18,0.33,Matches,Platense
7,Ronaldo Martínez,py PAR,FW,27-319,9,6,536,6.0,1,1,2,1,0,0,2,0,1.5,1.5,1.2,2.7,4,10,27,0.17,0.17,0.34,0.17,0.34,0.25,0.20,0.46,0.25,0.46,Matches,Platense
8,Juan Saborido,ar ARG,DF,25-319,5,5,421,4.7,0,1,1,0,0,0,1,0,0.2,0.2,0.5,0.7,9,11,11,0.00,0.21,0.21,0.00,0.21,0.04,0.10,0.14,0.04,0.14,Matches,Platense
9,Lucas Ocampo,uy URU,"MF,FW",26-107,8,4,334,3.7,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,7,20,18,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.17,0.11,0.17,Matches,Platense
10,Braian Rivero,ar ARG,MF,28-016,5,4,279,3.1,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,2,12,4,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches,Platense
11,Raúl Lozano,ar ARG,"DF,MF",26-189,4,4,271,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,5,11,19,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.16,0.04,0.16,Matches,Platense
12,Carlos Villalba,ar ARG,MF,25-234,7,3,332,3.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,0,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,Platense
13,Gabriel Hachen,ar ARG,"FW,MF",33-145,6,3,327,3.6,2,0,2,2,0,0,0,0,1.4,1.4,1.2,2.6,5,28,24,0.55,0.00,0.55,0.55,0.55,0.38,0.34,0.71,0.38,0.71,Matches,Platense
14,Lisandro Montenegro,ar ARG,"MF,FW",20-348,6,3,292,3.2,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,8,9,8,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.18,0.11,0.18,Matches,Platense
15,Fernando Juárez,ar ARG,MF,25-199,5,3,186,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,2,7,7,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,Matches,Platense
16,Oscar Salomón,ar ARG,DF,24-353,3,2,189,2.1,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.4,3,9,1,0.00,0.00,0.00,0.00,0.00,0.07,0.10,0.17,0.07,0.17,Matches,Platense
17,Maximiliano Urruti,ar ARG,FW,33-016,3,2,170,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,4,1,12,0.00,0.00,0.00,0.00,0.00,0.12,0.09,0.21,0.12,0.21,Matches,Platense
18,Mateo Pellegrino,ar ARG,"FW,MF",23-008,8,1,237,2.6,2,0,2,2,0,0,1,0,1.6,1.6,0.0,1.6,5,7,14,0.76,0.00,0.76,0.76,0.76,0.60,0.00,0.60,0.60,0.60,Matches,Platense
