,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Santiago Sosa,ar ARG,"DF,MF",24-311,9,9,810,9.0,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,7,44,3,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,RacingClub
1,Gabriel Arias,cl CHI,GK,36-178,9,9,765,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,RacingClub
2,Gabriel Rojas,ar ARG,DF,26-261,9,9,733,8.1,0,2,2,0,0,0,0,0,0.3,0.3,1.2,1.5,21,32,48,0.00,0.25,0.25,0.00,0.25,0.04,0.15,0.19,0.04,0.19,Matches,RacingClub
3,Agustín García Basso,ar ARG,DF,31-349,8,8,720,8.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,11,28,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,RacingClub
4,Adrián Martínez,ar ARG,FW,31-246,9,8,703,7.8,6,1,7,6,0,0,3,0,3.9,3.9,0.5,4.5,9,18,42,0.77,0.13,0.90,0.77,0.90,0.50,0.07,0.57,0.50,0.57,Matches,RacingClub
5,Bruno Zuculini,ar ARG,MF,30-342,8,8,620,6.9,1,1,2,1,0,0,3,0,0.6,0.6,0.9,1.6,6,34,12,0.15,0.15,0.29,0.15,0.29,0.09,0.14,0.23,0.09,0.23,Matches,RacingClub
6,Juan Quintero,co COL,"MF,FW",31-051,9,7,663,7.4,1,1,2,1,0,1,1,0,2.0,1.2,1.9,3.1,16,75,26,0.14,0.14,0.27,0.14,0.27,0.27,0.26,0.53,0.16,0.42,Matches,RacingClub
7,Agustín Almendra,ar ARG,MF,24-027,8,7,515,5.7,1,0,1,1,0,0,2,0,0.6,0.6,0.2,0.7,4,25,12,0.17,0.00,0.17,0.17,0.17,0.10,0.03,0.13,0.10,0.13,Matches,RacingClub
8,Tobías Rubio,ar ARG,DF,19-226,8,6,544,6.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,1,11,6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,RacingClub
9,Santiago Solari,ar ARG,"DF,FW",26-050,9,6,480,5.3,0,3,3,0,0,0,1,0,1.3,1.3,1.1,2.4,20,11,62,0.00,0.56,0.56,0.00,0.56,0.25,0.20,0.44,0.25,0.44,Matches,RacingClub
10,Maximiliano Salas,ar ARG,FW,26-099,9,5,464,5.2,0,0,0,0,0,0,1,0,0.5,0.5,0.4,0.9,12,6,37,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18,Matches,RacingClub
11,Facundo Mura,ar ARG,"DF,MF",24-352,6,3,332,3.7,2,0,2,2,0,0,1,0,0.3,0.3,0.1,0.4,6,10,20,0.54,0.00,0.54,0.54,0.54,0.09,0.03,0.11,0.08,0.10,Matches,RacingClub
12,Roger Martínez,co COL,FW,29-260,4,3,270,3.0,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,9,11,26,0.33,0.00,0.33,0.33,0.33,0.17,0.14,0.31,0.17,0.31,Matches,RacingClub
13,Leonel Miranda,ar ARG,MF,30-062,7,2,249,2.8,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0,22,4,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.13,0.11,0.13,Matches,RacingClub
14,Nazareno Colombo,ar ARG,DF,24-355,4,2,196,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,9,2,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches,RacingClub
15,Gastón Martirena,uy URU,DF,24-064,3,2,127,1.4,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,0,0,5,0.00,0.71,0.71,0.00,0.71,0.06,0.12,0.18,0.06,0.18,Matches,RacingClub
16,Germán Conti,ar ARG,DF,29-280,3,1,137,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,1,1,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,RacingClub
17,Johan Carbonero,co COL,"FW,DF",24-233,3,1,119,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,5,2,17,0.00,0.00,0.00,0.00,0.00,0.03,0.22,0.25,0.03,0.25,Matches,RacingClub
18,Jonathan David Gómez,ar ARG,MF,34-079,2,1,75,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,5,3,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,RacingClub
19,Baltasar Gallego,ar ARG,MF,20-244,3,1,72,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,5,5,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,Matches,RacingClub
20,Leonardo Sigali,ar ARG,DF,36-285,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,RacingClub
21,Ignacio Galván,ar ARG,"DF,MF",21-185,5,0,77,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,4,10,0.00,0.00,0.00,0.00,0.00,0.21,0.06,0.26,0.21,0.26,Matches,RacingClub
22,Facundo Cambeses,ar ARG,GK,26-335,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,RacingClub
23,Santiago Quiros,ar ARG,DF,21-005,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,RacingClub
24,Agustín Urzi,ar ARG,"FW,DF",23-310,3,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2,6,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,RacingClub
25,Juan Nardoni,ar ARG,MF,21-239,1,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches,RacingClub
26,David González,ar ARG,MF,20-245,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches,RacingClub
27,Ramiro Degregorio,ar ARG,FW,21-029,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,RacingClub
28,Iván Pillud,ar ARG,DF,37-320,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,RacingClub
29,Santino Vera,ar ARG,FW,17-333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,RacingClub
30,Squad Total,,,28.2,9,99,810,9.0,12,9,21,12,0,1,24,0,11.2,10.4,7.6,18.0,145,359,356,1.33,1.00,2.33,1.33,2.33,1.24,0.85,2.09,1.15,2.00,,RacingClub
31,Opponent Total,,,27.5,9,99,810,9.0,5,4,9,5,0,0,28,1,6.9,6.9,5.4,12.3,125,265,266,0.56,0.44,1.00,0.56,1.00,0.76,0.60,1.36,0.76,1.36,,RacingClub
