,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Franco Armani,ar ARG,GK,37-140,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,RiverPlate
1,Enzo Díaz,ar ARG,DF,28-088,8,8,712,7.9,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.2,18,19,59,0.00,0.00,0.00,0.00,0.00,0.01,0.14,0.16,0.01,0.16,Matches,RiverPlate
2,Ezequiel Barco,ar ARG,"MF,FW",24-341,8,8,667,7.4,0,5,5,0,0,1,0,0,1.4,0.7,2.7,3.4,36,55,47,0.00,0.67,0.67,0.00,0.67,0.20,0.36,0.56,0.09,0.45,Matches,RiverPlate
3,Ignacio Fernández,ar ARG,"MF,FW",34-052,8,8,644,7.2,1,3,4,1,0,0,2,0,1.1,1.1,1.9,3.0,12,52,34,0.14,0.42,0.56,0.14,0.56,0.16,0.26,0.42,0.16,0.42,Matches,RiverPlate
4,Leandro González Pirez,ar ARG,DF,32-007,7,7,602,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,6,24,0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,RiverPlate
5,Paulo Díaz,cl CHI,DF,29-192,7,7,585,6.5,0,0,0,0,0,0,2,0,0.6,0.6,0.1,0.7,5,19,0,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Matches,RiverPlate
6,Marcelo Herrera,ar ARG,DF,25-122,8,7,542,6.0,1,0,1,1,0,0,3,0,0.5,0.5,0.4,1.0,6,23,52,0.17,0.00,0.17,0.17,0.17,0.08,0.07,0.16,0.08,0.16,Matches,RiverPlate
7,Rodrigo Aliendro,ar ARG,MF,33-017,8,7,535,5.9,0,2,2,0,0,0,2,0,0.4,0.4,0.3,0.7,5,32,24,0.00,0.34,0.34,0.00,0.34,0.07,0.05,0.12,0.07,0.12,Matches,RiverPlate
8,Nicolas Fonseca,it ITA,MF,25-137,7,6,553,6.1,0,0,0,0,0,0,4,0,0.1,0.1,0.7,0.8,4,56,6,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.13,0.01,0.13,Matches,RiverPlate
9,Miguel Borja,co COL,FW,31-038,7,6,484,5.4,7,0,7,7,0,0,0,0,3.7,3.7,0.5,4.2,4,13,33,1.30,0.00,1.30,1.30,1.30,0.69,0.09,0.78,0.69,0.78,Matches,RiverPlate
10,Facundo Colidio,ar ARG,FW,24-060,7,6,471,5.2,2,0,2,2,0,0,0,0,3.6,3.6,1.4,5.0,5,13,44,0.38,0.00,0.38,0.38,0.38,0.70,0.26,0.96,0.70,0.96,Matches,RiverPlate
11,Franco Mastantuono,ar ARG,"FW,MF",16-203,7,2,262,2.9,0,0,0,0,0,0,0,0,0.9,0.9,0.2,1.1,13,15,32,0.00,0.00,0.00,0.00,0.00,0.32,0.06,0.38,0.32,0.38,Matches,RiverPlate
12,Sebastián Boselli,uy URU,DF,20-091,2,2,180,2.0,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,1,16,1,0.00,0.50,0.50,0.00,0.50,0.05,0.07,0.12,0.05,0.12,Matches,RiverPlate
13,Rodrigo Villagra,ar ARG,MF,23-019,4,2,178,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,RiverPlate
14,Pablo Solari,ar ARG,FW,22-348,3,2,166,1.8,3,0,3,3,0,0,0,0,1.1,1.1,0.1,1.2,6,5,20,1.63,0.00,1.63,1.63,1.63,0.59,0.03,0.62,0.59,0.62,Matches,RiverPlate
15,Ramiro Funes Mori,ar ARG,DF,32-365,4,1,160,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,Matches,RiverPlate
16,Claudio Echeverri,ar ARG,MF,18-062,3,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,4,9,10,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.16,0.04,0.16,Matches,RiverPlate
17,Agustín Ruberto,ar ARG,FW,18-050,6,0,140,1.6,1,0,1,1,0,0,0,0,1.6,1.6,0.0,1.6,2,1,4,0.64,0.00,0.64,0.64,0.64,1.03,0.00,1.03,1.03,1.03,Matches,RiverPlate
18,Agustín Sant'Anna,uy URU,DF,26-159,4,0,109,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1.0,4,6,13,0.00,0.00,0.00,0.00,0.00,0.12,0.71,0.83,0.12,0.83,Matches,RiverPlate
19,Agustín Palavecino,ar ARG,"MF,FW",27-116,2,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches,RiverPlate
20,Ian Subiabre,ar ARG,"MF,FW",17-063,2,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,2,0,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Matches,RiverPlate
21,Héctor David Martínez,py PAR,DF,26-043,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,RiverPlate
22,Matías Kranevitter,ar ARG,MF,30-288,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,RiverPlate
23,Milton Casco,ar ARG,DF,35-328,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,RiverPlate
24,Ezequiel Centurión,ar ARG,GK,26-289,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,RiverPlate
25,Tobías Leiva,ar ARG,MF,20-024,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,RiverPlate
26,Jonás Luna,ar ARG,MF,18-299,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,RiverPlate
27,Daniel Zabala,ar ARG,DF,21-047,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,RiverPlate
28,Squad Total,,,28.4,8,88,720,8.0,15,11,26,15,0,1,17,0,15.1,14.3,10.6,24.9,135,385,383,1.87,1.37,3.25,1.87,3.25,1.89,1.32,3.21,1.79,3.11,,RiverPlate
29,Opponent Total,,,28.0,8,88,720,8.0,5,5,10,5,0,0,17,0,7.8,7.8,5.8,13.6,110,165,171,0.62,0.62,1.25,0.62,1.25,0.97,0.73,1.70,0.97,1.70,,RiverPlate
