,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Jorge Broun,ar ARG,GK,37-288,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,RosarioCent
1,Facundo Mallo,uy URU,DF,29-053,9,9,810,9.0,0,0,0,0,0,0,1,0,0.8,0.8,0.3,1.1,1,10,2,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.12,0.08,0.12,Matches,RosarioCent
2,Víctor Malcorra,ar ARG,MF,36-229,9,9,711,7.9,1,1,2,1,0,0,2,0,0.4,0.4,2.2,2.6,17,17,47,0.13,0.13,0.25,0.13,0.25,0.05,0.28,0.33,0.05,0.33,Matches,RosarioCent
3,Felicia Karlsson,ar ARG,DF,30-168,8,8,688,7.6,0,0,0,0,0,0,4,0,0.4,0.4,0.0,0.5,0,25,10,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,RosarioCent
4,Carlos Quintana,ar ARG,DF,36-027,8,7,632,7.0,1,0,1,1,0,0,2,0,0.6,0.6,0.0,0.6,0,6,5,0.14,0.00,0.14,0.14,0.14,0.09,0.00,0.09,0.09,0.09,Matches,RosarioCent
5,Kevin Ortíz,ar ARG,MF,23-173,7,7,530,5.9,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,1,20,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,RosarioCent
6,Luca Martínez,mx MEX,FW,23-052,8,7,507,5.6,2,0,2,2,0,0,0,0,,,,,,,,0.36,0.00,0.36,0.36,0.36,,,,,,Matches,RosarioCent
7,Maximiliano Lovera,ar ARG,"FW,MF",25-000,8,6,530,5.9,1,0,1,0,1,1,1,0,0.9,0.1,0.2,0.3,19,22,26,0.17,0.00,0.17,0.00,0.00,0.15,0.03,0.18,0.01,0.04,Matches,RosarioCent
8,Elías Ocampo,ar ARG,"DF,MF",20-012,8,5,443,4.9,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,12,11,15,0.00,0.20,0.20,0.00,0.20,0.01,0.07,0.08,0.01,0.08,Matches,RosarioCent
9,Tomás O'Connor,ar ARG,MF,19-350,7,5,429,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.6,0.6,7,35,4,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches,RosarioCent
10,Tobías Cervera,ar ARG,FW,21-216,8,4,451,5.0,1,0,1,1,0,0,1,0,1.0,1.0,0.0,1.0,5,7,21,0.20,0.00,0.20,0.20,0.20,0.19,0.01,0.20,0.19,0.20,Matches,RosarioCent
11,Jaminton Campaz,co COL,"FW,MF",23-290,8,4,418,4.6,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,10,12,39,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.18,0.06,0.18,Matches,RosarioCent
12,Mauricio Martínez,ar ARG,MF,31-018,9,3,375,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,3,15,5,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches,RosarioCent
13,Emanuel Coronel,ar ARG,DF,27-037,4,3,315,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,7,15,10,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,RosarioCent
14,Alan Rodríguez,py PAR,"DF,FW",23-207,6,3,271,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,4,12,16,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.09,0.04,0.09,Matches,RosarioCent
15,Jonathan David Gómez,ar ARG,"MF,FW",34-079,5,3,236,2.6,0,2,2,0,0,0,0,0,0.1,0.1,0.3,0.4,3,6,4,0.00,0.76,0.76,0.00,0.76,0.03,0.12,0.15,0.03,0.15,Matches,RosarioCent
16,Damián Martínez,ar ARG,DF,34-038,3,3,225,2.5,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,RosarioCent
17,Juan Cruz Komar,ar ARG,DF,27-209,5,2,233,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches,RosarioCent
18,Abel Hernández,uy URU,FW,33-214,1,1,62,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches,RosarioCent
19,Laurtaro Giaccone,ar ARG,MF,23-037,2,1,60,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,RosarioCent
20,Franco Ibarra,ar ARG,MF,22-316,4,0,109,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,7,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches,RosarioCent
21,Francesco Lo Celso,ar ARG,"FW,MF",24-004,3,0,38,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,RosarioCent
22,Agustín Módica,ar ARG,FW,21-057,2,0,21,0.2,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,0,1,1,0.00,0.00,0.00,0.00,0.00,2.21,0.00,2.21,2.21,2.21,Matches,RosarioCent
23,Agustin Bravo,ar ARG,DF,22-303,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,RosarioCent
24,Giovanni Bogado,py PAR,MF,22-175,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,RosarioCent
25,Santiago Burgos,ar ARG,DF,17-353,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,RosarioCent
26,Fabricio Oviedo,ar ARG,FW,20-026,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,RosarioCent
27,Axel Werner,ar ARG,GK,28-010,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,RosarioCent
28,Squad Total,,,28.6,9,99,810,9.0,6,4,10,5,1,1,25,0,6.5,6.1,5.3,11.4,95,229,217,0.67,0.44,1.11,0.56,1.00,0.72,0.59,1.32,0.68,1.27,,RosarioCent
29,Opponent Total,,,27.9,9,99,810,9.0,10,8,18,9,1,1,22,0,10.2,9.4,7.3,16.6,151,309,299,1.11,0.89,2.00,1.00,1.89,1.13,0.81,1.94,1.04,1.85,,RosarioCent
