,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Malcom Braida,ar ARG,"DF,MF",26-297,8,8,720,8.0,0,0,0,0,0,0,0,0,0.3,0.3,0.9,1.2,21,34,50,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.15,0.03,0.15,Matches,SanLorenzo
1,Jhohan Romaña,co COL,DF,25-178,8,8,704,7.8,0,0,0,0,0,0,1,0,0.4,0.4,0.5,0.9,3,23,1,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,Matches,SanLorenzo
2,Adam Bareiro,py PAR,FW,27-227,8,8,698,7.8,5,1,6,5,0,0,4,0,2.7,2.7,0.7,3.4,10,19,43,0.64,0.13,0.77,0.64,0.77,0.35,0.08,0.43,0.35,0.43,Matches,SanLorenzo
3,Agustín Giay,ar ARG,"DF,MF",20-053,8,8,635,7.1,0,2,2,0,0,0,1,0,0.3,0.3,0.4,0.8,17,27,41,0.00,0.28,0.28,0.00,0.28,0.05,0.06,0.11,0.05,0.11,Matches,SanLorenzo
4,Elian Irala,ar ARG,MF,19-247,7,7,626,7.0,0,1,1,0,0,0,3,1,0.3,0.3,0.3,0.5,8,21,15,0.00,0.14,0.14,0.00,0.14,0.04,0.04,0.08,0.04,0.08,Matches,SanLorenzo
5,Gastón Hernández,ar ARG,DF,26-050,7,7,624,6.9,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,10,32,3,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,SanLorenzo
6,Facundo Altamirano,ar ARG,GK,27-354,7,7,623,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,SanLorenzo
7,Nahuel Barrios,ar ARG,"MF,FW",25-307,8,5,508,5.6,0,1,1,0,0,0,1,0,0.1,0.1,0.8,0.9,29,37,41,0.00,0.18,0.18,0.00,0.18,0.02,0.14,0.15,0.02,0.15,Matches,SanLorenzo
8,Gastón Campi,ar ARG,DF,32-338,7,5,506,5.6,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,1,15,0,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches,SanLorenzo
9,Cristian Ferreira,ar ARG,"MF,FW",24-179,5,5,407,4.5,1,1,2,1,0,0,0,0,0.6,0.6,1.4,1.9,10,22,19,0.22,0.22,0.44,0.22,0.44,0.12,0.30,0.43,0.12,0.43,Matches,SanLorenzo
10,Francisco Perruzzi,ar ARG,MF,22-189,4,4,237,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,7,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,SanLorenzo
11,Manuel Insaurralde,ar ARG,MF,25-038,7,3,277,3.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,3,7,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,SanLorenzo
12,Carlos Sánchez,co COL,"DF,MF",38-032,3,3,255,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,0,8,1,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.16,0.04,0.16,Matches,SanLorenzo
13,Cristian Tarragona,ar ARG,"FW,MF",32-335,6,2,252,2.8,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,3,2,28,0.00,0.00,0.00,0.00,0.00,0.23,0.02,0.25,0.23,0.25,Matches,SanLorenzo
14,Gonzalo Luján,ar ARG,DF,22-317,3,2,196,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,1,6,1,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.08,0.01,0.08,Matches,SanLorenzo
15,Ivan Leguizamon,py PAR,"FW,MF",21-250,3,2,180,2.0,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,7,3,15,0.00,0.50,0.50,0.00,0.50,0.08,0.16,0.23,0.08,0.23,Matches,SanLorenzo
16,Diego Herazo,co COL,"FW,MF",27-330,3,1,129,1.4,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,1,3,8,0.70,0.00,0.70,0.70,0.70,0.31,0.05,0.35,0.31,0.35,Matches,SanLorenzo
17,Gastón Gómez,ar ARG,GK,28-005,2,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,SanLorenzo
18,Eric Remedi,ar ARG,MF,28-279,2,1,87,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,Matches,SanLorenzo
19,Tobías Medina,ar ARG,MF,20-006,3,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,SanLorenzo
20,Iván Tapia,ar ARG,"MF,FW",25-107,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.02,0.18,0.19,0.02,0.19,Matches,SanLorenzo
21,Alexis Cuello,ar ARG,FW,24-020,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,SanLorenzo
22,Matías Hernández,ar ARG,FW,18-277,1,0,15,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,SanLorenzo
23,Nicolás Hernández,co COL,DF,26-051,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,SanLorenzo
24,Oscar Arias,ar ARG,"DF,MF",19-067,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,1.56,1.56,0.00,1.56,Matches,SanLorenzo
25,Elías Báez,ar ARG,DF,19-143,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,SanLorenzo
26,Jeremías James,ar ARG,DF,23-040,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,SanLorenzo
27,Lautaro López,ar ARG,GK,23-045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,SanLorenzo
28,Thiago Perugini,,FW,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,SanLorenzo
