,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Juan Manuel Insaurralde,ar ARG,DF,39-158,9,9,810,9.0,1,0,1,1,0,0,3,0,0.5,0.5,0.0,0.5,8,26,2,0.11,0.00,0.11,0.11,0.11,0.06,0.01,0.06,0.06,0.06,Matches,Sarmiento
1,Fernando Monetti,ar ARG,GK,35-017,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Sarmiento
2,Fernando Godoy,ar ARG,MF,33-313,8,8,720,8.0,1,0,1,1,0,0,2,0,0.1,0.1,0.3,0.4,0,27,3,0.12,0.00,0.12,0.12,0.12,0.01,0.04,0.05,0.01,0.05,Matches,Sarmiento
3,Gabriel Díaz,ar ARG,DF,23-325,9,8,688,7.6,1,1,2,1,0,0,2,0,0.2,0.2,1.0,1.2,9,24,26,0.13,0.13,0.26,0.13,0.26,0.03,0.13,0.16,0.03,0.16,Matches,Sarmiento
4,Sergio Quiroga,ar ARG,"MF,FW",29-276,9,8,599,6.7,1,0,1,1,0,0,0,0,0.3,0.3,0.6,0.9,11,22,20,0.15,0.00,0.15,0.15,0.15,0.05,0.10,0.14,0.05,0.14,Matches,Sarmiento
5,José Mauri,it ITA,MF,27-298,9,8,584,6.5,1,1,2,1,0,0,4,0,0.7,0.7,0.2,0.9,3,16,11,0.15,0.15,0.31,0.15,0.31,0.11,0.03,0.14,0.11,0.14,Matches,Sarmiento
6,Franco Paredes,ar ARG,DF,24-357,6,6,465,5.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,14,6,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,Sarmiento
7,Iván Morales Bravo,cl CHI,FW,24-224,6,6,440,4.9,0,1,1,0,0,0,1,0,0.9,0.9,0.2,1.1,6,4,23,0.00,0.20,0.20,0.00,0.20,0.19,0.03,0.23,0.19,0.23,Matches,Sarmiento
8,Diego Calcaterra,ar ARG,"DF,MF",22-227,6,5,455,5.1,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.2,4,15,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,Sarmiento
9,Joaquín Gho,ar ARG,"MF,FW",20-300,8,5,431,4.8,0,1,1,0,0,0,0,0,0.2,0.2,1.3,1.5,13,12,19,0.00,0.21,0.21,0.00,0.21,0.05,0.27,0.32,0.05,0.32,Matches,Sarmiento
10,Elías López,ar ARG,DF,23-245,4,4,323,3.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,9,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches,Sarmiento
11,Lisandro López,ar ARG,"FW,MF",41-007,8,3,321,3.6,1,0,1,1,0,1,0,0,1.0,0.3,0.0,0.3,4,4,13,0.28,0.00,0.28,0.28,0.28,0.29,0.00,0.30,0.07,0.08,Matches,Sarmiento
12,Jeremías Vallejos,ar ARG,DF,20-330,4,3,270,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Sarmiento
13,Facundo Ferreyra,ar ARG,FW,32-361,5,3,266,3.0,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,0,3,14,0.00,0.34,0.34,0.00,0.34,0.05,0.05,0.10,0.05,0.10,Matches,Sarmiento
14,Juan Guasone,ar ARG,DF,22-348,3,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,Sarmiento
15,Agustín Fontana,ar ARG,FW,27-272,7,2,273,3.0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.6,0,1,11,0.00,0.00,0.00,0.00,0.00,0.17,0.01,0.18,0.17,0.18,Matches,Sarmiento
16,Manuel Mónaco,,MF,,7,2,247,2.7,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Sarmiento
17,Juan Hernández,uy URU,DF,26-131,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Sarmiento
18,Maico Quiroz,ar ARG,"MF,FW",22-110,3,2,149,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,7,5,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.11,0.07,0.11,Matches,Sarmiento
19,Alfredo Amarilla,py PAR,MF,22-185,6,1,166,1.8,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,2,11,6,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.09,0.01,0.09,Matches,Sarmiento
20,Jonatan Gallardo,ar ARG,"MF,FW",27-010,4,1,163,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,3,16,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,Sarmiento
21,Yair Ezequiel Arismendi,ar ARG,MF,25-339,3,1,125,1.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Sarmiento
22,Pablo Pérez,ar ARG,"MF,DF",38-212,3,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Sarmiento
23,Yamil Garnier,ar ARG,DF,41-078,1,0,37,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Sarmiento
24,Nahuel Gallardo,ar ARG,DF,25-305,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches,Sarmiento
25,Lautaro Cerato,ar ARG,FW,23-171,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches,Sarmiento
26,Cristian Ojeda,ar ARG,MF,25-047,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Sarmiento
27,Agustín Molina,ar ARG,FW,17-244,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Sarmiento
28,Thyago Ayala,ar ARG,GK,22-184,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sarmiento
29,Santiago Morales,,DF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sarmiento
30,Jerónimo Pourtau,ar ARG,GK,24-046,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sarmiento
