,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Guido Herrera,ar ARG,GK,32-009,9,9,810,9.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.11,0.11,0.00,0.11,0.00,0.02,0.02,0.00,0.02,Matches,Talleres
1,Ramón Sosa,py PAR,FW,24-191,9,9,777,8.6,4,1,5,3,1,1,1,0,2.0,1.2,2.4,3.7,27,22,83,0.46,0.12,0.58,0.35,0.46,0.23,0.28,0.52,0.14,0.43,Matches,Talleres
2,Juan Camilo Portilla,co COL,MF,25-179,9,9,747,8.3,1,4,5,1,0,0,2,0,,,,,,,,0.12,0.48,0.60,0.12,0.60,,,,,,Matches,Talleres
3,Gastón Benavídez,ar ARG,DF,28-138,9,8,742,8.2,1,1,2,1,0,0,1,0,0.7,0.7,0.7,1.3,15,41,39,0.12,0.12,0.24,0.12,0.24,0.08,0.08,0.16,0.08,0.16,Matches,Talleres
4,Matías Catalán,cl CHI,DF,31-203,8,8,720,8.0,1,0,1,1,0,0,2,0,0.4,0.4,0.0,0.5,8,55,3,0.12,0.00,0.12,0.12,0.12,0.05,0.00,0.06,0.05,0.06,Matches,Talleres
5,Rubén Botta,ar ARG,"MF,FW",34-038,9,8,654,7.3,2,3,5,2,0,0,0,0,0.9,0.9,1.5,2.4,20,45,72,0.28,0.41,0.69,0.28,0.69,0.12,0.21,0.33,0.12,0.33,Matches,Talleres
6,Lucas Suárez,ar ARG,DF,28-358,7,6,564,6.3,0,1,1,0,0,0,1,0,0.2,0.2,0.1,0.3,5,17,4,0.00,0.16,0.16,0.00,0.16,0.03,0.02,0.05,0.03,0.05,Matches,Talleres
7,Nahuel Bustos,ar ARG,"MF,FW",25-249,7,6,489,5.4,1,1,2,1,0,1,1,0,1.9,1.1,0.8,2.0,1,6,13,0.18,0.18,0.37,0.18,0.37,0.35,0.16,0.51,0.21,0.36,Matches,Talleres
8,Federico Girotti,ar ARG,FW,24-281,9,5,444,4.9,2,0,2,2,0,0,2,0,2.4,2.4,0.1,2.5,2,6,20,0.41,0.00,0.41,0.41,0.41,0.49,0.02,0.51,0.49,0.51,Matches,Talleres
9,Miguel Navarro,ve VEN,DF,25-012,5,5,439,4.9,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,1,26,14,0.00,0.21,0.21,0.00,0.21,0.01,0.02,0.03,0.01,0.03,Matches,Talleres
