,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Agustín Cardozo,ar ARG,MF,26-281,8,8,720,8.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,42,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Matches,Tigre
1,Matías Tagliamonte,ar ARG,GK,26-016,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Tigre
2,Gian Nardelli,ar ARG,DF,23-361,7,7,605,6.7,0,0,0,0,0,0,2,1,0.2,0.2,0.5,0.7,2,11,2,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Matches,Tigre
3,Brahian Alemán,uy URU,MF,34-074,7,7,525,5.8,0,0,0,0,0,0,1,1,0.9,0.9,0.7,1.7,8,31,24,0.00,0.00,0.00,0.00,0.00,0.16,0.13,0.28,0.16,0.28,Matches,Tigre
4,Martín Ortega,ar ARG,DF,24-199,6,5,450,5.0,1,0,1,1,0,0,0,0,0.1,0.1,0.8,1.0,13,10,24,0.20,0.00,0.20,0.20,0.20,0.03,0.17,0.20,0.03,0.20,Matches,Tigre
5,Facundo Giacopuzzi,ar ARG,DF,22-315,5,5,406,4.5,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Tigre
6,Augusto Aguirre,ar ARG,DF,24-217,6,5,382,4.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,Tigre
7,Blas Armoa,py PAR,"FW,MF",24-032,7,5,365,4.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.6,10,4,37,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.14,0.11,0.14,Matches,Tigre
8,Nahuel Génez,ar ARG,DF,20-262,5,4,385,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,4,12,13,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,Tigre
9,Martin Garay,ar ARG,"MF,DF",24-268,5,4,355,3.9,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.2,5,17,19,0.00,0.25,0.25,0.00,0.25,0.01,0.04,0.05,0.01,0.05,Matches,Tigre
10,Pablo Adorno,py PAR,DF,28-029,4,4,330,3.7,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,Tigre
11,Gonzalo Flores,ar ARG,FW,22-013,4,4,264,2.9,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.3,2,2,6,0.00,0.34,0.34,0.00,0.34,0.02,0.09,0.11,0.02,0.11,Matches,Tigre
12,Juan Sánchez Miño,ar ARG,"DF,FW",34-065,4,4,264,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,6,18,7,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.10,0.01,0.10,Matches,Tigre
13,Ezequiel Forclaz,ar ARG,"MF,FW",20-338,8,3,355,3.9,2,0,2,2,0,0,3,0,0.8,0.8,0.2,1.0,5,13,21,0.51,0.00,0.51,0.51,0.51,0.21,0.04,0.25,0.21,0.25,Matches,Tigre
14,Leandro Contín,ar ARG,FW,28-090,5,3,205,2.3,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.9,3,2,15,0.00,0.00,0.00,0.00,0.00,0.31,0.08,0.39,0.31,0.39,Matches,Tigre
15,Juan Esquivel,ar ARG,"MF,FW",23-197,8,2,336,3.7,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,14,7,20,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.13,0.11,0.13,Matches,Tigre
16,Gonzalo Maroni,ar ARG,"MF,FW",24-354,7,2,268,3.0,0,0,0,0,0,0,1,0,0.9,0.9,0.5,1.4,15,21,12,0.00,0.00,0.00,0.00,0.00,0.30,0.17,0.47,0.30,0.47,Matches,Tigre
17,Tomás Galván,ar ARG,"MF,FW",23-330,5,2,197,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,5,7,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Matches,Tigre
18,Sebastián Medina,ar ARG,"DF,MF",23-357,3,2,172,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.4,5,4,10,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.19,0.08,0.19,Matches,Tigre
19,Flabián Londoño,co COL,FW,23-241,6,1,232,2.6,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,1,1,8,0.00,0.00,0.00,0.00,0.00,0.26,0.05,0.31,0.26,0.31,Matches,Tigre
20,Matias Espíndola,ar ARG,"MF,FW",20-101,4,1,184,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,8,8,6,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches,Tigre
21,Walter Rodríguez,py PAR,MF,28-151,4,1,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,5,0,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches,Tigre
22,Tomás Fernández,ar ARG,MF,20-059,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Tigre
23,Mateo Caceres,ar ARG,MF,21-163,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tigre
24,Tomás Lecanda,ar ARG,DF,22-037,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tigre
25,Valentín Moreno,ar ARG,DF,21-016,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tigre
26,Felipe Zenobio,ar ARG,GK,23-289,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tigre
27,Squad Total,,,25.4,8,88,720,8.0,3,2,5,3,0,0,17,3,6.0,6.0,4.7,10.8,118,242,238,0.37,0.25,0.62,0.37,0.62,0.76,0.59,1.35,0.76,1.35,,Tigre
28,Opponent Total,,,27.5,8,88,720,8.0,12,9,21,12,0,0,20,0,10.5,10.5,8.6,19.1,130,301,291,1.50,1.13,2.62,1.50,2.62,1.31,1.08,2.39,1.31,2.39,,Tigre
