,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,José Devecchi,ar ARG,GK,28-241,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Tucuman
1,Matías Orihuela,ar ARG,DF,32-018,8,8,691,7.7,0,0,0,0,0,0,0,0,0.8,0.8,0.5,1.3,13,18,25,0.00,0.00,0.00,0.00,0.00,0.10,0.06,0.17,0.10,0.17,Matches,Tucuman
2,Nicolás Romero,ar ARG,DF,20-099,7,7,624,6.9,0,0,0,0,0,0,4,1,0.2,0.2,0.0,0.2,6,16,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches,Tucuman
3,Adrián Guillermo Sánchez,ar ARG,MF,24-297,7,7,558,6.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,10,37,7,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,Tucuman
4,Marcelo Estigarribia,ar ARG,FW,28-301,7,7,548,6.1,0,1,1,0,0,0,1,0,2.3,2.3,0.6,2.9,4,14,35,0.00,0.16,0.16,0.00,0.16,0.38,0.10,0.48,0.38,0.48,Matches,Tucuman
5,Joaquín Pereyra,ar ARG,"MF,FW",25-096,6,6,540,6.0,0,0,0,0,0,0,0,0,0.6,0.6,1.5,2.1,20,42,33,0.00,0.00,0.00,0.00,0.00,0.11,0.25,0.36,0.11,0.36,Matches,Tucuman
6,Nicolás Castro,ar ARG,MF,33-204,8,6,447,5.0,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Tucuman
7,Renzo Tesuri,ar ARG,MF,27-273,6,6,446,5.0,0,0,0,0,0,0,1,0,0.3,0.3,0.9,1.2,6,16,31,0.00,0.00,0.00,0.00,0.00,0.07,0.18,0.25,0.07,0.25,Matches,Tucuman
8,Francisco Flores,ar ARG,DF,22-055,6,5,463,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Tucuman
9,Néstor Breitenbruch,ar ARG,DF,28-175,6,5,432,4.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.3,5,18,10,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,Matches,Tucuman
10,Mateo Coronel,ar ARG,"FW,MF",25-134,8,4,413,4.6,1,0,1,1,0,0,1,0,1.7,1.7,0.6,2.3,10,11,41,0.22,0.00,0.22,0.22,0.22,0.37,0.13,0.50,0.37,0.50,Matches,Tucuman
11,Agustín Lagos,ar ARG,DF,22-149,4,4,350,3.9,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,1,17,4,0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.15,0.02,0.15,Matches,Tucuman
12,Guillermo Acosta,ar ARG,MF,35-127,4,4,341,3.8,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,8,26,4,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.17,0.05,0.17,Matches,Tucuman
13,Justo Giani,ar ARG,"MF,FW",24-334,7,4,305,3.4,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,3,13,32,0.00,0.00,0.00,0.00,0.00,0.15,0.06,0.21,0.15,0.21,Matches,Tucuman
14,Gianluca Ferrari,ar ARG,DF,26-250,3,3,252,2.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,1,3,0,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches,Tucuman
15,Gonzalo Paz,ar ARG,DF,30-274,3,2,132,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,Tucuman
16,Mateo Bajamich,ar ARG,"FW,MF",24-216,7,1,225,2.5,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.5,5,12,20,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22,Matches,Tucuman
17,Nicolás Servetto,ar ARG,FW,27-345,5,1,108,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Matches,Tucuman
18,Sergio Ortíz,ar ARG,"MF,DF",23-012,6,0,132,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,Tucuman
