,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Elías Gómez,ar ARG,DF,29-270,8,8,720,8.0,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,14,46,30,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches,VelezSarsfield
1,Valentín Gómez,ar ARG,DF,20-253,8,8,720,8.0,1,0,1,1,0,0,3,0,0.3,0.3,0.1,0.4,3,17,0,0.12,0.00,0.12,0.12,0.12,0.04,0.01,0.05,0.04,0.05,Matches,VelezSarsfield
2,Tomás Marchiori,ar ARG,GK,28-259,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,VelezSarsfield
3,Leonardo Jara,ar ARG,DF,32-290,8,8,690,7.7,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,7,29,27,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches,VelezSarsfield
4,Claudio Aquino,ar ARG,MF,32-225,8,8,659,7.3,1,2,3,0,1,1,1,0,1.2,0.4,2.9,3.3,30,72,42,0.14,0.27,0.41,0.00,0.27,0.17,0.39,0.56,0.06,0.45,Matches,VelezSarsfield
5,Braian Romero,ar ARG,FW,32-264,8,8,613,6.8,2,1,3,2,0,0,2,0,2.3,2.3,0.1,2.4,7,4,35,0.29,0.15,0.44,0.29,0.44,0.34,0.01,0.35,0.34,0.35,Matches,VelezSarsfield
6,Emanuel Mammana,ar ARG,DF,28-024,7,7,585,6.5,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,1,15,0,0.15,0.00,0.15,0.15,0.15,0.04,0.00,0.05,0.04,0.05,Matches,VelezSarsfield
7,Christian Ordoñez,ar ARG,MF,19-225,7,5,485,5.4,0,1,1,0,0,0,2,0,0.2,0.2,0.5,0.7,8,21,9,0.00,0.19,0.19,0.00,0.19,0.03,0.09,0.12,0.03,0.12,Matches,VelezSarsfield
8,Francisco Pizzini,ar ARG,"FW,MF",30-168,6,5,401,4.5,2,0,2,2,0,0,2,0,1.7,1.7,0.3,2.1,17,12,42,0.45,0.00,0.45,0.45,0.45,0.39,0.08,0.46,0.39,0.46,Matches,VelezSarsfield
9,Rodrigo Piñeiro,uy URU,"FW,MF",24-305,6,5,293,3.3,0,1,1,0,0,0,0,0,1.4,1.4,0.7,2.2,19,8,29,0.00,0.31,0.31,0.00,0.31,0.44,0.23,0.67,0.44,0.67,Matches,VelezSarsfield
10,Santiago Cáseres,ar ARG,MF,27-009,4,4,328,3.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,2,21,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,VelezSarsfield
11,Lenny Lobato,br BRA,"FW,MF",23-031,7,3,341,3.8,2,0,2,2,0,0,1,0,0.8,0.8,0.6,1.4,18,6,47,0.53,0.00,0.53,0.53,0.53,0.20,0.16,0.36,0.20,0.36,Matches,VelezSarsfield
12,Jose Florentín,py PAR,MF,27-244,3,3,217,2.4,0,0,0,0,0,0,1,0,1.0,1.0,0.3,1.3,3,11,4,0.00,0.00,0.00,0.00,0.00,0.41,0.12,0.53,0.41,0.53,Matches,VelezSarsfield
13,Agustín Bouzat,ar ARG,MF,29-343,6,2,247,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,20,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,VelezSarsfield
14,Matías Pellegrini,ar ARG,"MF,FW",23-299,5,2,195,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,7,15,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.14,0.05,0.14,Matches,VelezSarsfield
15,Juan Ignacio Méndez,ar ARG,MF,26-312,4,2,157,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,0,6,1,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches,VelezSarsfield
16,Damián Fernández,ar ARG,DF,23-063,2,1,135,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,VelezSarsfield
17,Nicolás Garayalde,ar ARG,"MF,FW",24-228,2,1,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,VelezSarsfield
18,Abiel Osorio,ar ARG,"FW,MF",21-266,7,0,147,1.6,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,2,1,13,0.00,0.61,0.61,0.00,0.61,0.01,0.36,0.37,0.01,0.37,Matches,VelezSarsfield
19,Thiago Fernández,ar ARG,"MF,FW",19-337,4,0,96,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,5,15,12,0.00,0.94,0.94,0.00,0.94,0.11,0.76,0.87,0.11,0.87,Matches,VelezSarsfield
